Unnamed: 0,artists,date,rank,streams,title
0,Tones And I,2020-01-01,1,6155025,Dance monkey
1,Arizona Zervas,2020-01-01,2,4133489,Roxanne
2,"KAROL G, Nicki Minaj",2020-01-01,3,4017964,Tusa
3,Post Malone,2020-01-01,4,3283180,Circles
4,Maroon 5,2020-01-01,5,3127585,Memories
5,Trevor Daniel,2020-01-01,6,2993746,Falling
6,Dua Lipa,2020-01-01,7,2992597,Don't start now
7,"Black Eyed Peas, J Balvin",2020-01-01,8,2980775,Ritmo
8,"Shawn Mendes, Camila Cabello",2020-01-01,9,2873805,Señorita
9,The Weeknd,2020-01-01,10,2830968,Blinding lights
10,Roddy Ricch,2020-01-01,11,2715653,The box
11,Billie Eilish,2020-01-01,12,2564016,Bad guy
12,Billie Eilish,2020-01-01,13,2477644,Everything i wanted
13,Lewis Capaldi,2020-01-01,14,2356916,Someone you loved
14,Harry Styles,2020-01-01,15,2019758,Adore you
15,Bad Bunn,2020-01-01,16,1951124,Vete
16,Camila Cabello,2020-01-01,17,1934870,My oh my
17,"Post Malone, Swae Lee",2020-01-01,18,1884725,Sunflower
18,lackbear,2020-01-01,19,1870095,Hot girl bummer
19,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",2020-01-01,20,1861342,China
20,Selena Gomez,2020-01-01,21,1819647,Lose you to love me
21,DaBa,2020-01-01,22,1798728,Bop
22,Regard,2020-01-01,23,1746472,Ride it
23,Harry Styles,2020-01-01,24,1675202,Watermelon sugar
24,Travis Scott,2020-01-01,25,1667985,Highest in the room
25,Juice WRLD,2020-01-01,26,1604371,Bandit
26,Ed Sheeran,2020-01-01,27,1597395,I don't care
27,"Rauw Alejandro, Farruko",2020-01-01,28,1579814,Fantasias
28,Ed Sheeran,2020-01-01,29,1517497,Beautiful people
29,Juice WRLD,2020-01-01,30,1514188,Lucid dreams
30,The Weeknd,2020-01-01,31,1510767,Heartless
31,Don Toliver,2020-01-01,32,1458329,No idea
32,"Lil Nas X, Billy Ray Cyrus",2020-01-01,33,1446903,Old town road
33,Lil Uzi Vert,2020-01-01,34,1445478,Futsal shuffle 2020
34,"J Balvin, Bad Bunn",2020-01-01,35,1436592,La canción
35,Travis Scott,2020-01-01,36,1434685,Highest in the room
36,"Bad Bunny, Tain",2020-01-01,37,1401929,Callaita
37,Ariana Grande,2020-01-01,38,1371739,7 rings
38,Lewis Capaldi,2020-01-01,39,1333574,Before you go
39,Daddy Yankee,2020-01-01,40,1329281,Que tire pa lante
40,"Y2K, bbno$",2020-01-01,41,1291953,Lalala
41,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",2020-01-01,42,1273828,Hola
42,"Nicky Jam, Anuel AA",2020-01-01,43,1254899,Whine up
43,Sam Smith,2020-01-01,44,1241875,How do you sleep?
44,"Jhay Cortez, J Balvin, Bad Bunn",2020-01-01,45,1237445,No me conoce
45,"MEDUZA, Becky Hill, Goodboys",2020-01-01,46,1215005,Lose control
46,Dan + Sha,2020-01-01,47,1214953,"10,000 hours"
47,"Dímelo Flow, Arcangel, Sech",2020-01-01,48,1199083,Sigues con el
48,Lizzo,2020-01-01,49,1190890,Good as hell
49,Tyga,2020-01-01,50,1182984,Ayy macarena
50,Mustard,2020-01-01,51,1178320,Ballin'
51,"Marshmello, Bastille",2020-01-01,52,1149923,Happier
52,YNW Mell,2020-01-01,53,1146623,Suicidal
53,Ed Sheeran,2020-01-01,54,1144225,South of the border
54,Tain,2020-01-01,55,1137938,Adicto
55,"JACKBOYS, Travis Scott",2020-01-01,56,1114074,Out west
56,Lil Tecca,2020-01-01,57,1112466,Ransom
57,Post Malone,2020-01-01,58,1110006,Goodbyes
58,"ROSALÍA, J Balvin, El Guincho",2020-01-01,59,1086933,Con altura
59,Ed Sheeran,2020-01-01,60,1065859,Shape of you
60,"SHAED, ZAYN",2020-01-01,61,1053060,Trampoline
61,"Lady Gaga, Bradley Cooper",2020-01-01,62,1043906,Shallow
62,Lizzo,2020-01-01,63,1018639,Truth hurts
63,Post Malone,2020-01-01,64,1015073,Rockstar
64,Maroon 5,2020-01-01,65,1011338,Girls like you
65,Post Malone,2020-01-01,66,1002502,Wow.
66,Queen,2020-01-01,67,993846,Bohemian rhapsody
67,Henrique & Juliano,2020-01-01,68,989153,Liberdade provisória
68,Billie Eilish,2020-01-01,69,987596,When the party's over
69,Ariana Grande,2020-01-01,70,976647,"Thank u, next"
70,"MEDUZA, Goodboys",2020-01-01,71,967600,Piece of your heart
71,Billie Eilish,2020-01-01,72,957848,Lovely
73,Red Velvet,2020-01-01,74,942215,Psycho
74,"Daddy Yankee, Snow",2020-01-01,75,930799,Con calma
75,Jonas Brothers,2020-01-01,76,930066,Sucker
76,Juice WRLD,2020-01-01,77,920310,Robbery
77,Ant Saunders,2020-01-01,78,918798,Yellow hearts
78,"Camilo, Pedro Capó",2020-01-01,79,917214,Tutu
79,"Lunay, Ozuna, Anuel AA",2020-01-01,80,911629,Aventura
80,DaBa,2020-01-01,81,906858,Vibez
81,Harry Styles,2020-01-01,82,903674,Lights up
82,"Lunay, Daddy Yankee, Bad Bunn",2020-01-01,83,902955,Soltera
83,Ali Gatie,2020-01-01,84,902778,It's you
84,Queen,2020-01-01,85,902402,Don't stop me now
85,"ROSALÍA, Ozuna",2020-01-01,86,890696,"Yo x ti, tu x mi"
86,J Balvin,2020-01-01,87,889695,Blanco
87,Travis Scott,2020-01-01,88,881997,Sicko mode
88,"Reik, J Balvin, Lalo Ebratt",2020-01-01,89,881242,Indeciso
89,Drake,2020-01-01,90,879962,Money in the grave
90,Drake,2020-01-01,91,872771,God's plan
91,"DJ Snake, J Balvin",2020-01-01,92,861122,Loco contigo
92,Stormz,2020-01-01,93,851712,Own it
93,DaBa,2020-01-01,94,846925,Suge
94,Lil Ba,2020-01-01,95,846370,Woah
95,"JACKBOYS, Sheck Wes",2020-01-01,96,843763,Gang gang
96,"Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavárez, Feid, Wisin, Zion",2020-01-01,97,839755,Quizas
97,"Dalex, Lenny Tavárez, Anitta, Natti Natasha, Farruko, Justin Quiles",2020-01-01,98,830202,Bellaquita
98,"Lauv, LANY",2020-01-01,99,828542,Mean it
99,"The Chainsmokers, Halse",2020-01-01,100,827150,Closer
